query,query_type,config,mrr,p@1,r@1,ndcg@1,p@3,r@3,ndcg@3,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10
"Under MLR 2017 regulation 4, at what point is an e",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 4, at what point is an e",exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 4, at what point is an e",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What ownership or voting rights threshold must an ,exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What ownership or voting rights threshold must an ,exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What ownership or voting rights threshold must an ,exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 6, which categories of p",exact_anchor,dense_only,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.6309297535714575,0.2,1.0,0.6309297535714575,0.1,1.0,0.6309297535714575
"Under MLR 2017 regulation 6, which categories of p",exact_anchor,sparse_only,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879
"Under MLR 2017 regulation 6, which categories of p",exact_anchor,dense_sparse,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.43067655807339306,0.1,1.0,0.43067655807339306
At what cash payment level does a trader become a ,exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
At what cash payment level does a trader become a ,exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
At what cash payment level does a trader become a ,exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 27, in what circumstance",exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under MLR 2017 regulation 27, in what circumstance",exact_anchor,sparse_only,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.2,1.0,0.5,0.1,1.0,0.5
"Under MLR 2017 regulation 27, in what circumstance",exact_anchor,dense_sparse,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
What three obligations does MLR 2017 regulation 28,exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What three obligations does MLR 2017 regulation 28,exact_anchor,sparse_only,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.38685280723454163,0.1,1.0,0.38685280723454163
What three obligations does MLR 2017 regulation 28,exact_anchor,dense_sparse,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879
"Under MLR 2017 regulation 30, when must verificati",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 30, when must verificati",exact_anchor,sparse_only,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.6309297535714575,0.2,1.0,0.6309297535714575,0.1,1.0,0.6309297535714575
"Under MLR 2017 regulation 30, when must verificati",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What conditions must a relevant person assess befo,exact_anchor,dense_only,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.6309297535714575,0.2,1.0,0.6309297535714575,0.1,1.0,0.6309297535714575
What conditions must a relevant person assess befo,exact_anchor,sparse_only,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.6309297535714575,0.2,1.0,0.6309297535714575,0.1,1.0,0.6309297535714575
What conditions must a relevant person assess befo,exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 38, what maximum electro",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 38, what maximum electro",exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 38, what maximum electro",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What systemic obligation does MLR 2017 regulation ,exact_anchor,dense_only,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3333333333333333
What systemic obligation does MLR 2017 regulation ,exact_anchor,sparse_only,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
What systemic obligation does MLR 2017 regulation ,exact_anchor,dense_sparse,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.2,1.0,0.5,0.1,1.0,0.5
What records concerning beneficial owners must the,exact_anchor,dense_only,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
What records concerning beneficial owners must the,exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What records concerning beneficial owners must the,exact_anchor,dense_sparse,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.2,1.0,0.5,0.1,1.0,0.5
"Under MLR 2017 regulation 29, when must a credit i",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 29, when must a credit i",exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 29, when must a credit i",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What information must a credit institution gather ,exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What information must a credit institution gather ,exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What information must a credit institution gather ,exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What five acts constitute the principal money laun,exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What five acts constitute the principal money laun,exact_anchor,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
